iter	MAPE	RMSE	MAE
0	0.04218343837	0.7455951775	0.5981738819
1	0.04169625501	0.7374736145	0.5912614265
2	0.04123240616	0.729845579	0.5846855242
3	0.04076135482	0.7221980068	0.5779842629
4	0.04029001118	0.7145721539	0.5713023393
5	0.03983346406	0.7071383812	0.5648344725
6	0.03939001195	0.6998754765	0.5585427937
7	0.03894986339	0.6925933633	0.5523013235
8	0.03852041796	0.6854569106	0.5462024681
9	0.03810874946	0.6786880766	0.540362538
10	0.03769244891	0.6717778538	0.5344562189
11	0.03728148753	0.6649661669	0.5286257132
12	0.03688496742	0.6583225131	0.5230016899
13	0.03647917922	0.6515124941	0.5172489329
14	0.03608183785	0.6450572492	0.5116024949
15	0.0356985353	0.6386102359	0.5061607211
16	0.03530982264	0.6323164016	0.5006483238
17	0.0349478823	0.6264223056	0.4954962453
18	0.03457619705	0.620295136	0.4902272496
19	0.03421282273	0.6141925777	0.485062443
20	0.03385319458	0.6083738094	0.4799715026
21	0.03348727889	0.6024679546	0.4747806105
22	0.03313029581	0.5965935673	0.4697206567
23	0.03278236397	0.5909225213	0.4648004386
24	0.03243778637	0.5853428085	0.4599271366
25	0.0321174935	0.5799504559	0.4553780158
26	0.03178652716	0.5745512336	0.4506842652
27	0.03146110215	0.5691027608	0.4460642007
28	0.03113412558	0.5638316609	0.4414257812
29	0.03081441225	0.5585374416	0.4368926032
30	0.03049605988	0.553227251	0.4323761028
31	0.03019333456	0.5482693158	0.4280864485
32	0.02989054502	0.5432071273	0.4237866651
33	0.02959255121	0.5381467096	0.4195497521
34	0.02930573617	0.5334030021	0.4154627932
35	0.02900975839	0.5285837304	0.411264861
36	0.02871823497	0.523844281	0.407121467
37	0.02842943078	0.5192212613	0.4030220216
38	0.02815225029	0.5147990917	0.3990862893
39	0.02789069591	0.5104318976	0.3953769036
40	0.02761953339	0.505971313	0.3915254531
41	0.02736642077	0.5017282462	0.3879294143
42	0.02710531895	0.4973864698	0.3842246914
43	0.02684993653	0.4930423654	0.3805969181
44	0.02658279068	0.48872047	0.376803802
45	0.02633840856	0.4846883675	0.3733356035
46	0.02610073058	0.4806789782	0.3699583318
47	0.02585932187	0.476804051	0.3665420056
48	0.02562074642	0.4727520386	0.3631493045
49	0.02539489252	0.4689239988	0.3599422998
50	0.02516910592	0.4652468018	0.356736763
51	0.02495526798	0.46169062	0.3536824688
52	0.0247447965	0.4580911922	0.3506938502
53	0.02452373143	0.4545252738	0.3475573289
54	0.02430125798	0.4508910636	0.3443967555
